,Novartis,Novartis,Novartis,Literature,Literature,Literature,val_split,val_split,val_split
,R^2,RMSE,MAE,R^2,RMSE,MAE,R^2,RMSE,MAE
RFR_prot,0.587,1.479,1.169,0.844,0.932,0.612,0.801,1.068,0.718
RFR_deprot,0.423,1.749,1.379,0.756,1.166,0.767,0.763,1.166,0.785
RFR_pair,0.604,1.45,1.139,0.833,0.965,0.657,0.812,1.039,0.704
PLS_prot,0.423,1.749,1.379,0.66,1.376,1.049,0.636,1.444,1.104
PLS_deprot,0.361,1.842,1.473,0.727,1.232,0.935,0.61,1.494,1.15
PLS_pair,0.458,1.696,1.341,0.711,1.269,0.941,0.656,1.404,1.077
GCN_prot_no-edge,0.705,1.25,0.975,0.882,0.811,0.614,0.795,1.085,0.744
GCN_prot_edge,0.688,1.287,0.971,0.862,0.877,0.667,0.828,0.994,0.675
GCN_deprot_no-edge,0.61,1.439,1.102,0.929,0.628,0.496,0.796,1.081,0.772
GCN_deprot_edge,0.7,1.261,0.985,0.903,0.734,0.558,0.836,0.969,0.654
GCN_pair_no-edge,0.644,1.374,1.045,0.899,0.75,0.571,0.81,1.044,0.7
GCN_pair_edge,0.751,1.15,0.873,0.895,0.766,0.57,0.844,0.944,0.63
